title,dealLink,buyLink,store,price,redPrice,thumbs,views,pic
Blue Buffalo Dog's & Cat's Treats: 16oz Health Bars Natural Crunchy Dog Biscuits 2 for $4.50 w/ Subscribe & Save & More,https://slickdeals.net/f/17094664-blue-buffalo-dog-s-cat-s-treats-16-oz-health-bars-natural-crunchy-dog-biscuits-2-for-4-75-12-oz-bursts-crunchy-cat-treats-2-for-8-55-more-w-s-s-fs-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,2 for $4.50,$9.96,+75,"13,180",https://static.slickdealscdn.com/attachment/1/1/3/3/5/6/0/150x150/14600116.thumb
"Buy 1, get 1 60% off Blue Buffalo pet treats + 30% off all cat & dog food - stacking Target Circle offers",https://slickdeals.net/f/17126050-buy-1-get-1-60-off-blue-buffalo-pet-treats-30-off-all-cat-dog-food-stacking-target-circle-offers?src=SiteSearchV2Algo1,,Target,,,+3,829,unavailable
16-Count 0.42oz. Temptations Creamy Puree Cat Treat Pouches (various flavors) From $1.05 & More w/ Subscribe & Save,https://slickdeals.net/f/17060218-16-count-0-42oz-temptations-creamy-puree-cat-treat-pouches-various-flavors-from-1-05-more-w-subscribe-save?src=SiteSearchV2Algo1,,Amazon,From $1.05,$8.49,+56,"8,252",https://static.slickdealscdn.com/attachment/8/6/6/3/0/150x150/14525719.thumb
New Chewy Accounts: 40-lbs Arm & Hammer Multi-Cat Clumping Cat Litter (Clean Burst) from 3 for $0.65 w/ Autoship & Save,https://slickdeals.net/f/17093428-40-lbs-arm-hammer-multi-cat-clumping-cat-litter-w-clean-burst-3-for-0-65-or-more-w-filler-item-free-shipping?src=SiteSearchV2Algo1,,Chewy,from 3 for $0.65,$68.97,+24,"22,283",https://static.slickdealscdn.com/attachment/2/8/2/3/2/8/9/3/150x150/14597941.thumb
"INABA Churu Cat Treats, Grain-Free, Lickable, Squeezable Creamy Purée Cat Treat/Topper with Vitamin E & Taurine, 0.5 Ounces Each Tube, 40 Tubes, Tuna Variety Box $26.99",https://slickdeals.net/f/17085643-inaba-churu-cat-treats-grain-free-lickable-squeezable-creamy-pur-e-cat-treat-topper-with-vitamin-e-taurine-0-5-ounces-each-tube-40-tubes-tuna-variety-box-26-99?src=SiteSearchV2Algo1,,,$26.99,$10.20,0,400,unavailable
Delectable Cat Treat Pouch Sample Free + Free Shipping,https://slickdeals.net/f/16958353-free-delectables-cat-treats?src=SiteSearchV2Algo1,,,Free,,+58,"15,505",https://static.slickdealscdn.com/attachment/1/6/7/9/8/1/2/150x150/14296792.thumb
Meow Cat Treat Dispenser Toy $3.90 + Free Store Pickup,https://slickdeals.net/f/16788287-meow-cat-treat-dispenser-toy-3-90-free-store-pickup?src=SiteSearchV2Algo1,,Kohl's,$3.90,$12.99,+38,"13,815",https://static.slickdealscdn.com/attachment/1/3/5/8/6/2/3/150x150/13900970.thumb
50-Count 0.5-Oz Inaba Churu Chicken Puree Grain Free Lickable Cat Treat (Variety Pack) 2 for $7.55 ($3.75 each) + Free Shipping,https://slickdeals.net/f/17093068-50-count-0-5-oz-inaba-churu-chicken-puree-grain-free-lickable-cat-treat-variety-pack-2-for-7-55-3-75-each-free-shipping?src=SiteSearchV2Algo1,,Chewy,$7.55,$99.98,+1,623,https://static.slickdealscdn.com/attachment/2/8/2/3/2/8/9/3/150x150/14597125.thumb
"Amazon - INABA Churu Cat Treats, Grain-Free, Lickable, Squeezable Creamy Purée Cat Treat/Topper - Chicken varieties 4.67 before tax.",https://slickdeals.net/f/17081653-amazon-inaba-churu-cat-treats-grain-free-lickable-squeezable-creamy-pur-e-cat-treat-topper-chicken-varieties-4-67-before-tax?src=SiteSearchV2Algo1,,Amazon,,,+4,"1,447",unavailable
Chewy: Additional Savings on Select Dog or Cat Supplies: Extra 50% Off + Free S/H $49+ Orders,https://slickdeals.net/f/17118031-chewy-50-off-at-checkout-with-code-pet50?src=SiteSearchV2Algo1,,Chewy,50% Off,,+22,"11,298",https://static.slickdealscdn.com/attachment/8/4/0/9/0/5/1/150x150/14642419.thumb
