title,dealLink,buyLink,store,price,redPrice,thumbs,views,pic
**PRICE DROP** Cat & Dog Flea & Tick Collars & Treatments: 55% off w/ S&S: 8-Months Seresto Flea & Tick Collar $20.60 & More + Free Shipping w/ Prime or on $35+,https://slickdeals.net/f/17071147-price-drop-cat-dog-flea-tick-collars-treatments-55-off-w-s-s-8-months-seresto-flea-tick-collar-20-60-more-free-shipping-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,$20.60,$67.89,+4,"1,329",https://static.slickdealscdn.com/attachment/2/8/2/3/2/8/9/3/150x150/14556067.thumb
Seresto Cat Vet-Recommended Flea & Tick Treatment & Prevention Collar for Cats | 8 Months Protection $45.21,https://slickdeals.net/f/16783442-seresto-cat-vet-recommended-flea-tick-treatment-prevention-collar-for-cats-8-months-protection-45-21?src=SiteSearchV2Algo1,,Amazon,$45.21,$81.58,+2,737,https://static.slickdealscdn.com/attachment/2/1/7/8/3/3/2/8/150x150/13890770.thumb
IAMS: Buy 2x 11-lb+ Bags Dry Dog Food or 2x 6-lb+ Bags Dry Cat Food Get Up to $150 towards your next Vet Visit,https://slickdeals.net/f/16771556-iams-checkup-challenge-let-us-pay-for-your-vet-visit?src=SiteSearchV2Algo1,,,Get Up to $150 towards your next Vet Visit,,+27,"12,722",https://static.slickdealscdn.com/attachment/1/8/6/3/2/3/2/150x150/13865180.thumb
11/12//2023-- Sunday Coupon Insert Preview--SMARTSOURCE and SAVE and KIDS 360,https://slickdeals.net/f/17027920-11-12-2023-sunday-coupon-insert-preview-smartsource-and-save-and-kids-360?src=SiteSearchV2Algo1,,,,,+3,"1,759",unavailable
Collection of Free Kindle eBooks,https://slickdeals.net/f/16913047-collection-of-free-kindle-ebooks?src=SiteSearchV2Algo1,,Amazon,,,+42,"6,915",https://static.slickdealscdn.com/attachment/2/8/9/8/3/8/8/0/150x150/14190697.thumb
New Chewy Customers: Seresto 8-Month Flea & Tick Prevention Collar for Dogs from $19.80 & More + Free Shipping,https://slickdeals.net/f/16575458-new-chewy-customers-seresto-8-month-flea-tick-prevention-collar-for-dogs-from-19-80-more-free-shipping?src=SiteSearchV2Algo1,,Chewy,from $19.80,$67.98,+14,"16,991",https://static.slickdealscdn.com/attachment/2/8/2/3/2/8/9/3/150x150/13343525.thumb
85-Count Value Pack FELINE GREENIES PILL POCKETS Natural Soft Cat Treats (Chicken) $5.50 + Free Shipping w/ Prime or on $25+,https://slickdeals.net/f/16664705-85-count-value-pack-feline-greenies-pill-pockets-natural-soft-cat-treats-chicken-5-50-free-shipping-w-prime-or-on-25?src=SiteSearchV2Algo1,,Amazon,$5.50,$10.98,+7,"1,806",https://static.slickdealscdn.com/attachment/1/3/5/8/6/2/3/150x150/13592648.thumb
Save 10% off $50 on Pet Products-Amazon,https://slickdeals.net/f/16714808-save-10-off-50-on-pet-products-amazon?src=SiteSearchV2Algo1,,Amazon,,,+1,386,unavailable
Amazon Seresto Cat collar 2 for $74.20 with subscribe and save $37.10,https://slickdeals.net/f/16490422-amazon-seresto-cat-collar-2-for-74-20-with-subscribe-and-save-37-10?src=SiteSearchV2Algo1,,Amazon,$37.10,,-1,"4,188",unavailable
Costco Wholesale Members: In-Warehouse & Online Savings: See Thread for Pricing (valid 5/6 - 5/14),https://slickdeals.net/f/16632065-costco-coupons-in-warehouse-hot-buys-start-tomorrow-5-6-23-thru-5-14-23?src=SiteSearchV2Algo1,,Costco Wholesale,for Pricing,,+79,"341,729",https://static.slickdealscdn.com/attachment/8/0/4/2/5/150x150/13502879.thumb
Pet Supermarket - Up to $20 Off Cat Food & Supplies,https://slickdeals.net/f/16165156-pet-supermarket-up-to-20-off-cat-food-supplies?src=SiteSearchV2Algo1,,Pet Supermarket,,,+1,"1,007",https://static.slickdealscdn.com/attachment/3/1/5/5/8/2/4/6/150x150/12341356.thumb
11/20/22-- Sunday Coupon Preview-SMARTSOURCE and SAVE,https://slickdeals.net/f/16166476-11-20-22-sunday-coupon-preview-smartsource-and-save?src=SiteSearchV2Algo1,,,,,+4,"1,483",unavailable
10/9/22 Sunday Coupon Insert Preview- SMARTSOURCE,https://slickdeals.net/f/16069855-10-9-22-sunday-coupon-insert-preview-smartsource?src=SiteSearchV2Algo1,,,,,+5,"1,488",unavailable
Hammock Cove Antiguan Vacation Giveaway ~ 10/28/2022,https://slickdeals.net/f/16027909-hammock-cove-antiguan-vacation-giveaway-10-28-2022?src=SiteSearchV2Algo1,,,,,+8,924,unavailable
