realBuyLink,description,expired
https://slickdeals.net/?sdtrk=SiteSearchV2Algo1&afsrc=1&trd=Get%20Deal%20at%20Amazon&sdtid=17071147&tid=17071147&prop=diavail-true%7Cdincp-1%7Cdinpd-1%7Cdipgavail-false&pv=997a3b00930511eea2825a85c909964f&au=27f1bf7914c94808a50ce1b7560ff02e,This item has no description,
https://slickdeals.net/?sdtrk=SiteSearchV2Algo1&afsrc=1&trd=Get%20Deal%20at%20Amazon&sdtid=16783442&tid=16783442&prop=diavail-true%7Cdincp-2%7Cdinpd-1%7Cdipgavail-true&pv=9f79093c930511ee813826cbd3c933ad&au=27f1bf7914c94808a50ce1b7560ff02e,This item has no description,
https://slickdeals.net/?sdtrk=SiteSearchV2Algo1&afsrc=1&trd=Get%20Deal%20at%20Retailer&sdtid=16771556&tid=16771556&pno=845150&prop=diavail-false%7Cdincp-0%7Cdinpd-0%7Cdipgavail-false&pv=a469dc1e930511ee83ff7aabb1c97e42&au=27f1bf7914c94808a50ce1b7560ff02e,This item has no description,
https://slickdeals.net/?sdtrk=SiteSearchV2Algo1&afsrc=1&trd=See%20Deal&sdtid=17027920&tid=17027920&prop=diavail-false%7Cdincp-0%7Cdinpd-0%7Cdipgavail-false&pv=a928139c930511eeb18f3e364c14c401&au=27f1bf7914c94808a50ce1b7560ff02e,This item has no description,
https://slickdeals.net/?sdtrk=SiteSearchV2Algo1&afsrc=1&trd=Get%20Deal%20at%20Amazon&sdtid=16913047&tid=16913047&prop=diavail-false%7Cdincp-0%7Cdinpd-0%7Cdipgavail-false&pv=ad8f6ee4930511eeb5b9c63f9671413d&au=27f1bf7914c94808a50ce1b7560ff02e,This item has no description,
https://slickdeals.net/?sdtrk=SiteSearchV2Algo1&afsrc=1&trd=Get%20Deal%20at%20Chewy&sdtid=16575458&tid=16575458&pno=818738&prop=diavail-false%7Cdincp-0%7Cdinpd-0%7Cdipgavail-false&pv=b240eaf8930511eea4028641be08cf16&au=27f1bf7914c94808a50ce1b7560ff02e,"Flea and tick protection for dogs and puppies over 18 pounds.
Long-lasting collar kills and repels fleas for 8 months.
Starts working quickly to kill and repel fleas on contact, so pests don’t have to bite your dog to die.
Hassle-free, non-greasy and easy to use.
No prescription required.",
https://slickdeals.net/?sdtrk=SiteSearchV2Algo1&afsrc=1&trd=Get%20Deal%20at%20Amazon&sdtid=16664705&tid=16664705&prop=diavail-true%7Cdincp-3%7Cdinpd-1%7Cdipgavail-true&pv=b53a062c930511ee88f5c2ead178cde8&au=27f1bf7914c94808a50ce1b7560ff02e,This item has no description,Expired Deal
https://slickdeals.net/?sdtrk=SiteSearchV2Algo1&afsrc=1&trd=Get%20Deal%20at%20Amazon&sdtid=16714808&tid=16714808&prop=diavail-false%7Cdincp-0%7Cdinpd-0%7Cdipgavail-false&pv=b8648ed0930511ee8182dafb51a00520&au=27f1bf7914c94808a50ce1b7560ff02e,This item has no description,
https://slickdeals.net/?sdtrk=SiteSearchV2Algo1&afsrc=1&trd=Get%20Deal%20at%20Amazon&sdtid=16490422&tid=16490422&prop=diavail-true%7Cdincp-2%7Cdinpd-1%7Cdipgavail-true&pv=bcb234ce930511eea9a2326a88790afe&au=27f1bf7914c94808a50ce1b7560ff02e,This item has no description,
https://slickdeals.net/?sdtrk=SiteSearchV2Algo1&afsrc=1&trd=Visit%20Retailer&sdtid=16632065&tid=16632065&pno=826037&prop=diavail-false%7Cdincp-0%7Cdinpd-0%7Cdipgavail-false&pv=c1215c7e930511ee9864e6a63278c924&au=27f1bf7914c94808a50ce1b7560ff02e,This item has no description,Expired Deal
