title,dealLink,buyLink,store,price,redPrice,thumbs,views,pic
24-Pack 3.5-Oz Cesar Home Delights Wet Dog Food (Variety Pack) $13.95 & More w/ Subscribe & Save,https://slickdeals.net/f/17135212-24-count-3-5-oz-cesar-wet-dog-food-variety-packs-home-delights-or-loaf-topper-in-sauce-13-95-w-s-s-free-shipping-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,$13.95,$32.98,+57,"11,098",https://static.slickdealscdn.com/attachment/2/0/3/1/1/5/0/150x150/14673664.thumb
12-Pack 3-Oz Wellness CORE Small Breed Mini Meals Wet Dog Food (Chicken & Turkey) $8.20 & More w/ S&S,https://slickdeals.net/f/17130448-12-pack-3-oz-wellness-core-natural-grain-free-small-breed-mini-meals-wet-dog-food-chicken-turkey-8-20-chicken-lamb-9-40-more-w-s-s-fs-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,$8.20,$23.88,+20,"4,701",https://static.slickdealscdn.com/attachment/1/1/3/3/5/6/0/150x150/14664631.thumb
"Minties Dog Dental Bone Treats: 120-Count (48-Oz, Tiny/Small Dogs 5 to 39-lbs) $15.25 w/ Subscribe & Save",https://slickdeals.net/f/17128375-minties-dog-dental-bone-treats-120-count-48-oz-tiny-small-dogs-5-to-39-lbs-15-25-w-subscribe-save?src=SiteSearchV2Algo1,,Amazon,$15.25,$32.99,+56,"8,754",https://static.slickdealscdn.com/attachment/1/1/3/3/5/6/0/150x150/14660542.thumb
Goody Box Holiday Pet Cat or Dog Toys & Treats from $13,https://slickdeals.net/f/17137240-goody-box-holiday-pet-cat-or-dog-toys-treats-from-13-free-shipping-on-49?src=SiteSearchV2Algo1,,Chewy,from $13,$43.49,+26,"8,212",https://static.slickdealscdn.com/attachment/3/1/7/4/5/4/0/4/150x150/14677927.thumb
30-Count Greenies Pill Pockets Capsule Size Soft Dog Treats (Chicken Flavor) $3.75 w/ Subscribe & Save,https://slickdeals.net/f/17134882-30-count-greenies-pill-pockets-dogs-capsule-size-natural-soft-dog-treats-chicken-flavor-3-77-w-s-s-free-shipping-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,$3.75,$7.13,+37,"6,058",https://static.slickdealscdn.com/attachment/3/0/4/6/9/4/2/0/150x150/14673313.thumb
56-Oz Blue Buffalo Apple and Yogurt Natural Crunchy Dog Treats $3.80 w/ Subscribe & Save,https://slickdeals.net/f/17114413-56-oz-blue-buffalo-apple-and-yogurt-natural-crunchy-dog-treats-3-80-w-subscribe-save?src=SiteSearchV2Algo1,,Amazon,$3.80,$20.99,+56,"17,450",https://static.slickdealscdn.com/attachment/1/1/3/3/5/6/0/150x150/14633797.thumb
"Cadet Stuffed Shin Bone Dog Treat (Peanut Butter, Large) $1.95 w/ Subscribe & Save",https://slickdeals.net/f/17089717-cadet-stuffed-shin-bone-dog-treat-peanut-butter-large-1-95-w-s-s-free-shipping-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,$1.95,$4.29,+52,"10,636",https://static.slickdealscdn.com/attachment/2/3/3/3/7/5/2/0/150x150/14589430.thumb
24-Oz Milk-Bone Original Dog Biscuit Treats (Medium) $1.60 w/ Autoship + Free S/H on Orders $49+,https://slickdeals.net/f/17089273-24-oz-milk-bone-original-dog-biscuit-treats-medium-1-60-w-autoship-free-s-h-on-orders-49?src=SiteSearchV2Algo1,,Chewy,$1.60,$3.99,+74,"11,176",https://static.slickdealscdn.com/attachment/1/0/6/6/9/4/150x150/14588899.thumb
Blue Buffalo Dog's & Cat's Treats: 16oz Health Bars Natural Crunchy Dog Biscuits 2 for $4.50 w/ Subscribe & Save & More,https://slickdeals.net/f/17094664-blue-buffalo-dog-s-cat-s-treats-16-oz-health-bars-natural-crunchy-dog-biscuits-2-for-4-75-12-oz-bursts-crunchy-cat-treats-2-for-8-55-more-w-s-s-fs-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,2 for $4.50,$9.96,+75,"13,180",https://static.slickdealscdn.com/attachment/1/1/3/3/5/6/0/150x150/14600116.thumb
"JustFoodForDogs Pantry Fresh Wet Dog Food Variety Pack, Complete Meal or Dog Food Topper, Beef & Chicken Human Grade Dog Food Recipes - 12.5 oz (Pack of 6) - $25.07",https://slickdeals.net/f/17134579-justfoodfordogs-pantry-fresh-wet-dog-food-variety-pack-complete-meal-or-dog-food-topper-beef-chicken-human-grade-dog-food-recipes-12-5-oz-pack-of-6-25-07?src=SiteSearchV2Algo1,,Amazon,$25.07,$46.20,+1,711,https://static.slickdealscdn.com/attachment/1/7/4/4/2/6/0/150x150/14672707.thumb
