title,dealLink,buyLink,store,price,redPrice,thumbs,views,pic
"2-Pack Chuckit! Ultra Ball Medium Dog Toy (2.5"" Diameter) 3 for $9.80 w/ Subscribe & Save",https://slickdeals.net/f/17132095-2-pack-chuckit-ultra-ball-dog-toy-medium-2-5-balls-for-4-77-free-shipping-w-prime-or-35-orders?src=SiteSearchV2Algo1,,Amazon,3 for $9.80,$42.00,+49,"11,760",https://static.slickdealscdn.com/attachment/3/0/6/6/3/5/5/9/150x150/14668159.thumb
"24"" Multipet Lamb Chop Jumbo Plush Dog Toy $8 + Free S&H on $49+",https://slickdeals.net/f/17110204-24-multipet-lamb-chop-jumbo-plush-dog-toy-8-free-s-h-on-49?src=SiteSearchV2Algo1,,Chewy,$8,$30.00,+63,"16,262",https://static.slickdealscdn.com/attachment/2/6/8/9/3/2/150x150/14627290.thumb
"JW Hol-ee Roller Dog Toy Puzzle Ball (Large, 5.5"" diameter) 3 for $15.10 + Free S/H on $49+",https://slickdeals.net/f/17117278-jw-hol-ee-roller-dog-toy-puzzle-ball-large-5-5-diameter-3-for-15-10-free-s-h-on-49?src=SiteSearchV2Algo1,,Chewy,3 for $15.10,$45.00,+23,"9,531",https://static.slickdealscdn.com/attachment/8/1/2/0/4/6/150x150/14639752.thumb
Melissa & Doug Let's Explore Rescue Ranger Toy Dog $7.50 + Free Store Pickup,https://slickdeals.net/f/17080174-melissa-doug-let-s-explore-rescue-ranger-toy-dog-7-50-free-store-pickup?src=SiteSearchV2Algo1,,Target,$7.50,$25.00,+35,"20,824",https://static.slickdealscdn.com/attachment/2/2/0/5/3/150x150/14581591.thumb
Goody Box Holiday Pet Cat or Dog Toys & Treats from $13,https://slickdeals.net/f/17137240-goody-box-holiday-pet-cat-or-dog-toys-treats-from-13-free-shipping-on-49?src=SiteSearchV2Algo1,,Chewy,from $13,$43.49,+26,"8,212",https://static.slickdealscdn.com/attachment/3/1/7/4/5/4/0/4/150x150/14677927.thumb
"Outward Hound: Nina Ottosson Wobble Bowl Interactive Slow Feeder/ Dog Game $12, Puppy Hide N' Slide Interactive Treat Puzzle Toy $10 + Free Shipping w/ Prime",https://slickdeals.net/f/17137948-outward-hound-nina-ottosson-wobble-bowl-interactive-slow-feeder-dog-game-12-puppy-hide-n-slide-interactive-treat-puzzle-toy-10-free-shipping-w-prime?src=SiteSearchV2Algo1,,Woot!,$12.00,$27.49,+3,509,https://static.slickdealscdn.com/attachment/2/5/5/9/8/9/2/7/150x150/14679316.thumb
Outward Hound Hedgehogz Plush Dog Toy (Medium) 3 for $9.43 ($3.14 each) w/ Subscribe & Save,https://slickdeals.net/f/17108209-outward-hound-hedgehogz-plush-dog-toy-medium-3-for-9-43-3-14-each-w-subscribe-save?src=SiteSearchV2Algo1,,Amazon,$9.43,$6.99,+2,788,https://static.slickdealscdn.com/attachment/1/8/7/0/2/2/2/6/150x150/14624644.thumb
$3.27 /w S&S: 2-Pack Chuckit! Ultra Ball Dog Toy (Medium) @Amazon,https://slickdeals.net/f/17081947-3-27-w-s-s-2-pack-chuckit-ultra-ball-dog-toy-medium-amazon?src=SiteSearchV2Algo1,,Amazon,$3.27,$5.30,+4,"1,266",https://static.slickdealscdn.com/attachment/1/1/7/1/5/2/7/150x150/14572747.thumb
Outward Hound Hedgehogz Small Plush Dog Toy 3 for $8 ($2.66/ea) & More + Free S&H w/ Prime or $35+,https://slickdeals.net/f/17111266-outward-hound-hedgehogz-small-plush-dog-toy-3-for-8-2-66-ea-more-free-s-h-w-prime-or-35?src=SiteSearchV2Algo1,,Amazon,$8.00,$20.97,+4,"1,289",https://static.slickdealscdn.com/attachment/1/3/5/8/6/2/3/150x150/14628964.thumb
"Chewy: First Autoship of Select Pet Products (Dog, Cat & Other Loved Pets) Up to 50% Off + Free Shipping on $49+",https://slickdeals.net/f/17043058-chewy-up-to-50-off-your-first-autoship-of-select-products-dog-cat-other-loved-pets-free-shipping-on-49?src=SiteSearchV2Algo1,,Chewy,Up to 50% Off,,+28,"12,196",https://static.slickdealscdn.com/attachment/3/1/1/9/6/7/1/6/150x150/14484631.thumb
