title,dealLink,buyLink,store,price,redPrice,thumbs,views,pic
"Cadet Stuffed Shin Bone Dog Treat (Peanut Butter, Large) $1.95 w/ Subscribe & Save",https://slickdeals.net/f/17089717-cadet-stuffed-shin-bone-dog-treat-peanut-butter-large-1-95-w-s-s-free-shipping-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,$1.95,$4.29,+52,"10,636",https://static.slickdealscdn.com/attachment/2/3/3/3/7/5/2/0/150x150/14589430.thumb
Blue Buffalo Dog's & Cat's Treats: 16oz Health Bars Natural Crunchy Dog Biscuits 2 for $4.50 w/ Subscribe & Save & More,https://slickdeals.net/f/17094664-blue-buffalo-dog-s-cat-s-treats-16-oz-health-bars-natural-crunchy-dog-biscuits-2-for-4-75-12-oz-bursts-crunchy-cat-treats-2-for-8-55-more-w-s-s-fs-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,2 for $4.50,$9.96,+75,"13,180",https://static.slickdealscdn.com/attachment/1/1/3/3/5/6/0/150x150/14600116.thumb
New Chewy Customers: 12-Ounce Cadet Real Beef Bully Sticks Dog Treat $12.15 w/ Autoship + Free Shipping,https://slickdeals.net/f/17120005-new-chewy-customers-12-ounce-cadet-real-beef-bully-sticks-dog-treat-12-15-w-autoship-free-shipping?src=SiteSearchV2Algo1,,Chewy,$12.15,$60.89,+4,"3,199",https://static.slickdealscdn.com/attachment/3/1/7/4/5/4/0/4/150x150/14644327.thumb
Melissa & Doug Let's Explore Rescue Ranger Toy Dog $7.50 + Free Store Pickup,https://slickdeals.net/f/17080174-melissa-doug-let-s-explore-rescue-ranger-toy-dog-7-50-free-store-pickup?src=SiteSearchV2Algo1,,Target,$7.50,$25.00,+35,"20,824",https://static.slickdealscdn.com/attachment/2/2/0/5/3/150x150/14581591.thumb
Furbo 360° Dog Camera: Wide-Angle Pet Camera with Treat Tossing - $145.00 + Free Shipping (no Prime required),https://slickdeals.net/f/17071219-furbo-360-dog-camera-wide-angle-pet-camera-with-treat-tossing-145-00-free-shipping-no-prime-required?src=SiteSearchV2Algo1,,Amazon,$145.00,$210.00,+1,643,https://static.slickdealscdn.com/attachment/3/0/8/3/5/8/9/4/150x150/14551114.thumb
"Outward Hound: Nina Ottosson Wobble Bowl Interactive Slow Feeder/ Dog Game $12, Puppy Hide N' Slide Interactive Treat Puzzle Toy $10 + Free Shipping w/ Prime",https://slickdeals.net/f/17137948-outward-hound-nina-ottosson-wobble-bowl-interactive-slow-feeder-dog-game-12-puppy-hide-n-slide-interactive-treat-puzzle-toy-10-free-shipping-w-prime?src=SiteSearchV2Algo1,,Woot!,$12.00,$27.49,+3,509,https://static.slickdealscdn.com/attachment/2/5/5/9/8/9/2/7/150x150/14679316.thumb
"YMMV - Pork Chomps Dog Chews, 5-inch Munchy Sticks, Assorted Flavors, 100 Count - $8.79, or 4 for $22.41 - $8.79",https://slickdeals.net/f/17138209-ymmv-pork-chomps-dog-chews-5-inch-munchy-sticks-assorted-flavors-100-count-8-79-or-4-for-22-41-8-79?src=SiteSearchV2Algo1,,Amazon,$8.79,,+4,"2,244",https://static.slickdealscdn.com/attachment/2/5/4/6/2/4/150x150/14681632.thumb
Buy 1 Get 1 Free Dog Treats Online at Petco,https://slickdeals.net/f/17099827-buy-1-get-1-free-dog-treats-online-at-petco?src=SiteSearchV2Algo1,,Petco,,,+1,609,unavailable
Trixie Dog Flip Board Strategy Game (Intermediate) $6.55,https://slickdeals.net/f/16964371-trixie-dog-flip-board-strategy-game-intermediate-6-51-free-shipping-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,$6.55,$16.00,+24,"22,266",https://static.slickdealscdn.com/attachment/1/9/1/2/6/8/2/150x150/14301835.thumb
"Buy 1, get 1 60% off Blue Buffalo pet treats + 30% off all cat & dog food - stacking Target Circle offers",https://slickdeals.net/f/17126050-buy-1-get-1-60-off-blue-buffalo-pet-treats-30-off-all-cat-dog-food-stacking-target-circle-offers?src=SiteSearchV2Algo1,,Target,,,+3,829,unavailable
"4.9-Oz Nylabone Healthy Edibles Wild Natural Long-Lasting Dog Treat (Bison, Large) $1.10 w/ Subscribe & Save",https://slickdeals.net/f/17100370-4-9-oz-nylabone-healthy-edibles-wild-natural-long-lasting-dog-treat-bison-large-1-09-w-s-s-free-shipping-w-prime-or-on-35?src=SiteSearchV2Algo1,,,$1.10,$5.99,+55,"11,267",https://static.slickdealscdn.com/attachment/2/0/3/1/1/5/0/150x150/14611150.thumb
Starmark Treat Dispensing Bob-A-Lot Interactive Dog Pet Toy (Large) $9.25,https://slickdeals.net/f/16928620-starmark-treat-dispensing-bob-a-lot-interactive-dog-pet-toy-large-9-25?src=SiteSearchV2Algo1,,Amazon,$9.25,$16.57,+3,"1,427",https://static.slickdealscdn.com/attachment/1/7/2/2/9/6/4/150x150/14221153.thumb
Good'N'Fun Triple Flavored Rawhide Kabobs (W/subscribe and save) $19.03,https://slickdeals.net/f/17110948-good-n-fun-triple-flavored-rawhide-kabobs-w-subscribe-and-save-19-03?src=SiteSearchV2Algo1,,Amazon,$19.03,$41.99,+3,825,https://static.slickdealscdn.com/attachment/8/6/0/1/4/4/7/150x150/14628538.thumb
130-Count Greenies Original Teenie Dental Dog Treats (5-15 lb Dogs) $15.55 or less w/ Subscribe & Save,https://slickdeals.net/f/17054584-130-count-greenies-original-teenie-natural-dental-dog-treats-for-5-15-lb-dogs-17-w-s-s-free-shipping-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,$15.55 or less,$39.98,+63,"18,826",https://static.slickdealscdn.com/attachment/2/3/3/3/7/5/2/0/150x150/14511295.thumb
