title,dealLink,buyLink,store,price,redPrice,thumbs,views,pic
30-Count Greenies Pill Pockets Capsule Size Soft Dog Treats (Chicken Flavor) $3.75 w/ Subscribe & Save,https://slickdeals.net/f/17134882-30-count-greenies-pill-pockets-dogs-capsule-size-natural-soft-dog-treats-chicken-flavor-3-77-w-s-s-free-shipping-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,$3.75,$7.13,+37,"6,058",https://static.slickdealscdn.com/attachment/3/0/4/6/9/4/2/0/150x150/14673313.thumb
"Frontline Plus Flea and Tick Dog Treatment 23-44 lb, 7+1 Doses $61.99",https://slickdeals.net/f/16941097-frontline-plus-flea-and-tick-dog-treatment-23-44-lb-7-1-doses-61-99?src=SiteSearchV2Algo1,,Costco Wholesale,$61.99,$79.99,+3,"1,388",https://static.slickdealscdn.com/attachment/5/9/4/4/5/7/6/150x150/14251222.thumb
**PRICE DROP** Cat & Dog Flea & Tick Collars & Treatments: 55% off w/ S&S: 8-Months Seresto Flea & Tick Collar $20.60 & More + Free Shipping w/ Prime or on $35+,https://slickdeals.net/f/17071147-price-drop-cat-dog-flea-tick-collars-treatments-55-off-w-s-s-8-months-seresto-flea-tick-collar-20-60-more-free-shipping-w-prime-or-on-35?src=SiteSearchV2Algo1,,Amazon,$20.60,$67.89,+4,"1,329",https://static.slickdealscdn.com/attachment/2/8/2/3/2/8/9/3/150x150/14556067.thumb
IAMS: Buy 2x 11-lb+ Bags Dry Dog Food or 2x 6-lb+ Bags Dry Cat Food Get Up to $150 towards your next Vet Visit,https://slickdeals.net/f/16771556-iams-checkup-challenge-let-us-pay-for-your-vet-visit?src=SiteSearchV2Algo1,,,Get Up to $150 towards your next Vet Visit,,+27,"12,722",https://static.slickdealscdn.com/attachment/1/8/6/3/2/3/2/150x150/13865180.thumb
"PetArmor Plus Dog Flea & Tick Prevention Treatment (3-Month): Large Dogs $16.80, Small/Medium/X-Large Dogs $17.50 w/ S&S + Free Shipping w/ Prime or Orders $25+",https://slickdeals.net/f/16705082-petarmor-plus-dog-flea-tick-prevention-treatment-3-month-large-dogs-16-80-small-medium-x-large-dogs-17-50-w-s-s-free-shipping-w-prime-or-orders-25?src=SiteSearchV2Algo1,,Amazon,$16.80,$28.99,+5,"2,188",https://static.slickdealscdn.com/attachment/3/1/7/1/9/9/0/1/150x150/13701731.thumb
8-Count Frontline Plus Flea and Tick Dog Treatment for Dogs 23-44 lbs $8.20 + Free Store Pickup,https://slickdeals.net/f/16788785-frontline-plus-flea-and-tick-dog-treatment-23-44-lbs-8-count-8-22?src=SiteSearchV2Algo1,,PetSmart,$8.20,$46.99,+23,"8,886",https://static.slickdealscdn.com/attachment/8/9/2/1/2/0/3/150x150/13902545.thumb
"Reddy Navy Cloud Orthopedic Box Dog Bed, 36"" L X 27"" W $7.49 (now YMMV)",https://slickdeals.net/f/16886549-reddy-navy-cloud-orthopedic-box-dog-bed-36-l-x-27-w-7-49-now-ymmv?src=SiteSearchV2Algo1,,Petco,$7.49,$139.99,+9,"9,388",https://static.slickdealscdn.com/attachment/2/5/1/5/4/6/8/150x150/14124998.thumb
11/12//2023-- Sunday Coupon Insert Preview--SMARTSOURCE and SAVE and KIDS 360,https://slickdeals.net/f/17027920-11-12-2023-sunday-coupon-insert-preview-smartsource-and-save-and-kids-360?src=SiteSearchV2Algo1,,,,,+3,"1,759",unavailable
"K9 Advantix II Medium Dog (11-20 lbs) Flea, Tick & Mosquito Treatment 2-Mo Supply - 14.98 + Free Shipping $14.98",https://slickdeals.net/f/16756622-k9-advantix-ii-medium-dog-11-20-lbs-flea-tick-mosquito-treatment-2-mo-supply-14-98-free-shipping-14-98?src=SiteSearchV2Algo1,,Amazon,$14.98,$31.98,+1,547,https://static.slickdealscdn.com/attachment/3/2/5/7/6/150x150/13822100.thumb
New Chewy Customers: Seresto 8-Month Flea & Tick Prevention Collar for Dogs from $19.80 & More + Free Shipping,https://slickdeals.net/f/16575458-new-chewy-customers-seresto-8-month-flea-tick-prevention-collar-for-dogs-from-19-80-more-free-shipping?src=SiteSearchV2Algo1,,Chewy,from $19.80,$67.98,+14,"16,991",https://static.slickdealscdn.com/attachment/2/8/2/3/2/8/9/3/150x150/13343525.thumb
Save 10% off $50 on Pet Products-Amazon,https://slickdeals.net/f/16714808-save-10-off-50-on-pet-products-amazon?src=SiteSearchV2Algo1,,Amazon,,,+1,386,unavailable
"6-Count Solimo Flea & Tick Treatment: for X-Large Dogs (89-132 lbs.) $14.90, for Small Dogs (5-22 lbs.) $15.25 w/ S&S + Free Shipping w/ Prime or on $25+",https://slickdeals.net/f/16423786-6-count-solimo-flea-tick-treatment-for-x-large-dogs-89-132-lbs-14-90-for-small-dogs-5-22-lbs-15-25-w-s-s-free-shipping-w-prime-or-on-25?src=SiteSearchV2Algo1,,Amazon,$14.90,$26.23,+3,"1,377",https://static.slickdealscdn.com/attachment/1/1/3/3/5/6/0/150x150/12938569.thumb
Mighty Petz: 3.7-Oz MAX Dog UTI Treatment Soft Chews $8 & More,https://slickdeals.net/f/16351534-mighty-petz-3-7-oz-max-dog-uti-treatment-soft-chews-8-more?src=SiteSearchV2Algo1,,Amazon,$8,$42.97,+24,"7,069",https://static.slickdealscdn.com/attachment/1/1/3/3/5/6/0/150x150/12757744.thumb
Costco Wholesale Members: In-Warehouse & Online Savings: See Thread for Pricing (valid 5/6 - 5/14),https://slickdeals.net/f/16632065-costco-coupons-in-warehouse-hot-buys-start-tomorrow-5-6-23-thru-5-14-23?src=SiteSearchV2Algo1,,Costco Wholesale,for Pricing,,+79,"341,729",https://static.slickdealscdn.com/attachment/8/0/4/2/5/150x150/13502879.thumb
"Frontline Plus Flea and Tick Treatment for Dogs (Large Dog, 45-88 Pounds, 3 Doses) $24.70 + Free Shipping",https://slickdeals.net/f/16092052-frontline-plus-flea-and-tick-treatment-for-dogs-large-dog-45-88-pounds-3-doses-24-70-free-shipping?src=SiteSearchV2Algo1,,Amazon,$24.70,,+1,"1,552",https://static.slickdealscdn.com/attachment/1/3/2/9/0/0/150x150/12161389.thumb
"GREENIES PILL POCKETS for Dogs Capsule Size Natural Soft Dog Treats, Hickory Smoke Flavor, Brown, 15.8 oz. Pack (60 Treats) - $8.06 /w S&S - Amazon",https://slickdeals.net/f/15987277-greenies-pill-pockets-for-dogs-capsule-size-natural-soft-dog-treats-hickory-smoke-flavor-brown-15-8-oz-pack-60-treats-8-06-w-s-s-amazon?src=SiteSearchV2Algo1,,Amazon,$8.06,,+2,"3,758",https://static.slickdealscdn.com/attachment/1/1/7/1/5/2/7/150x150/11933896.thumb
"GREENIES PILL POCKETS for Dogs Capsule Size Natural Soft Dog Treats, Hickory Smoke Flavor, Brown, 15.8 oz. Pack (60 Treats) - $8.80 or $8.06 /w S&S - Amazon YMMV",https://slickdeals.net/f/15973096-greenies-pill-pockets-for-dogs-capsule-size-natural-soft-dog-treats-hickory-smoke-flavor-brown-15-8-oz-pack-60-treats-8-80-or-8-06-w-s-s-amazon-ymmv?src=SiteSearchV2Algo1,,Amazon,$8.80,,+2,"3,802",https://static.slickdealscdn.com/attachment/1/1/7/1/5/2/7/150x150/11900314.thumb
