title,dealLink,buyLink,store,price,redPrice,thumbs,views,pic
Goody Box Holiday Pet Cat or Dog Toys & Treats from $13,https://slickdeals.net/f/17137240-goody-box-holiday-pet-cat-or-dog-toys-treats-from-13-free-shipping-on-49?src=SiteSearchV2Algo1,,Chewy,from $13,$43.49,+22,"6,120",https://static.slickdealscdn.com/attachment/3/1/7/4/5/4/0/4/150x150/14677927.thumb
Shark IX140 Lightweight Cordless Pet Stick Vacuum (Factory Refurbished) $80 + Free Shipping,https://slickdeals.net/f/17122417-factory-refurb-shark-ix140-lightweight-cordless-pet-stick-vacuum-80-free-s-h?src=SiteSearchV2Algo1,,BuyDig,$80,$135.00,+30,"14,851",https://static.slickdealscdn.com/attachment/1/0/6/6/9/4/150x150/14656945.thumb
"40""x 30"" Happy Tails Sherpa Jacquard Gusset Pet Bed (Various) $19.90 + Free Shipping",https://slickdeals.net/f/17032882-40-in-x-30-in-sherpa-jacquard-gusset-pet-bed-20-reg-40-f-s-from-home-depot?src=SiteSearchV2Algo1,,Home Depot,$19.90,$39.97,+34,"18,590",https://static.slickdealscdn.com/attachment/1/5/4/0/0/9/2/150x150/14462878.thumb
Samsung Jet 60 Pet Cordless Stick Vacuum (Rose Gold) $200 + Free Shipping,https://slickdeals.net/f/17048104-samsung-jet-60-pet-cordless-stick-vacuum-rose-gold-200-free-shipping?src=SiteSearchV2Algo1,,Samsung,$200,$329.99,+29,"33,727",https://static.slickdealscdn.com/attachment/1/7/2/2/9/6/4/150x150/14496565.thumb
Gamma2 Vittles Vault Plus Pet Food Storage $25.71,https://slickdeals.net/f/17054146-gamma2-vittles-vault-plus-pet-food-storage-25-71?src=SiteSearchV2Algo1,,Chewy,$25.71,$59.99,+5,975,https://static.slickdealscdn.com/attachment/1/2/2/2/2/8/0/8/150x150/14510662.thumb
"Chewy: First Autoship of Select Pet Products (Dog, Cat & Other Loved Pets) Up to 50% Off + Free Shipping on $49+",https://slickdeals.net/f/17043058-chewy-up-to-50-off-your-first-autoship-of-select-products-dog-cat-other-loved-pets-free-shipping-on-49?src=SiteSearchV2Algo1,,Chewy,Up to 50% Off,,+28,"12,189",https://static.slickdealscdn.com/attachment/3/1/1/9/6/7/1/6/150x150/14484631.thumb
"Chewy: Up to 50% off on Pet Apparel, Food & Treats + Up to 50% off First Autoship ($20 Max) & More + Free Shipping on $35+",https://slickdeals.net/f/17083981-chewy-up-to-50-off-on-pet-apparel-food-treats-up-to-50-off-first-autoship-20-max-more-free-shipping-on-35?src=SiteSearchV2Algo1,,Chewy,,,+8,"1,363",https://static.slickdealscdn.com/attachment/2/8/2/3/2/8/9/3/150x150/14576740.thumb
Fido or Tabby Alert Dog/Cat Stainless Steel ID Engraved Pet Tag + Petfolk Care Annual Veterinary Plan (On-site Clinics available in select areas) $1,https://slickdeals.net/f/17103529-fido-or-tabby-alert-dog-cat-stainless-steel-id-engraved-pet-tag-petfolk-care-annual-veterinary-plan-on-site-clinics-available-in-select-areas-1?src=SiteSearchV2Algo1,,,$1.00,$199.00,+1,992,https://static.slickdealscdn.com/attachment/2/6/8/9/3/2/150x150/14617399.thumb
Bissell Pet Stain Eraser PowerBrush Cordless Carpet Spot Cleaner w/ Pet Tool $59 + Free Shipping,https://slickdeals.net/f/16965016-bissell-pet-stain-eraser-powerbrush-cordless-carpet-spot-cleaner-w-pet-tool-59-free-shipping?src=SiteSearchV2Algo1,,Walmart,$59,$133.90,+21,"25,168",https://static.slickdealscdn.com/attachment/3/5/9/9/2/0/150x150/14303455.thumb
"JW Hol-ee Roller Dog Toy Puzzle Ball (Large, 5.5"" diameter) 3 for $15.10 + Free S/H on $49+",https://slickdeals.net/f/17117278-jw-hol-ee-roller-dog-toy-puzzle-ball-large-5-5-diameter-3-for-15-10-free-s-h-on-49?src=SiteSearchV2Algo1,,Chewy,3 for $15.10,$45.00,+23,"9,522",https://static.slickdealscdn.com/attachment/8/1/2/0/4/6/150x150/14639752.thumb
BISSELL Crosswave Pet Multi-Surface Wet/Dry Vacuum $188 + Free Shipping,https://slickdeals.net/f/17132374-bissell-crosswave-pet-multi-surface-wet-dry-vacuum-188-free-shipping?src=SiteSearchV2Algo1,,Walmart,$188.00,$307.97,+1,783,https://static.slickdealscdn.com/attachment/3/7/4/7/9/3/150x150/14668726.thumb
Hoover PowerDash Pet Compact Carpet Cleaner (Blue) $69 + Free Shipping,https://slickdeals.net/f/17118724-hoover-powerdash-pet-compact-carpet-cleaner-blue-69-free-shipping?src=SiteSearchV2Algo1,,Walmart,$69.00,$129.00,+2,"1,032",https://static.slickdealscdn.com/attachment/2/3/0/4/5/0/3/8/150x150/14642080.thumb
Petco: Extra Savings for Pickup Orders: $10 Off $50+ $30 Off $100+ + Free Store Pickup Only,https://slickdeals.net/f/17109220-petco-30-off-100-when-you-buy-online-and-pick-up-in-store-stacks-with-other-black-friday-sales-promos?src=SiteSearchV2Algo1,,Petco,$30 Off $100+,,+33,"13,440",https://static.slickdealscdn.com/attachment/1/3/2/7/8/1/1/150x150/14639554.thumb
"2-Pack Chuckit! Ultra Ball Medium Dog Toy (2.5"" Diameter) 3 for $9.80 w/ Subscribe & Save",https://slickdeals.net/f/17132095-2-pack-chuckit-ultra-ball-dog-toy-medium-2-5-balls-for-4-77-free-shipping-w-prime-or-35-orders?src=SiteSearchV2Algo1,,Amazon,3 for $9.80,$42.00,+49,"11,699",https://static.slickdealscdn.com/attachment/3/0/6/6/3/5/5/9/150x150/14668159.thumb
Shark IZ142 Pet Pro Cordless Vacuum w/ Self Cleaning Brush Roll (Refurbished) $103 + Free Shipping,https://slickdeals.net/f/16997446-factory-refurb-shark-iz142-pet-pro-cordless-vacuum-w-self-cleaning-brush-roll-103-free-s-h?src=SiteSearchV2Algo1,,BuyDig,$103,$180.00,+32,"22,193",https://static.slickdealscdn.com/attachment/1/6/7/9/8/1/2/150x150/14403640.thumb
Chia Pet Gnome w/ Seed Pack $12.71 + Free Shipping w/ Prime or on orders over $35,https://slickdeals.net/f/17135680-chia-pet-gnome-w-seed-pack-12-71-free-shipping-w-prime-or-on-orders-over-35?src=SiteSearchV2Algo1,,Amazon,$12.71,$26.99,+3,727,https://static.slickdealscdn.com/attachment/1/4/1/3/2/6/0/150x150/14674531.thumb
